total_engagement_percentage,share_percentage
1.1167686,8.7248322
1.7975567,30.6122449
11.4332381,10.4651163
13.2588635,19.4444444
4.6142691,12.5810636
11.0340952,13.6986301
11.3516566,29.4117647
16.1151405,11.1111111
11.5892163,9.2105263
32.5207756,20.3389831
12.9189944,8.9552239
8.497191,9.7744361
9.1387373,12.2093023
21.2281796,23.2
21.3791912,22.0588235
19.2582511,21.09375
14.5151134,24.822695
12.8823529,24.4239631
25,20.6896552
8.1164676,10.1123596
17.1416713,19.3939394
19.905482,19.6319018
8.184438,9.6636412
21.9557823,11.5789474
14.2330677,25.0803859
1.1156992,19.3181818
1.5688208,11.5015974
17.9827267,22.3529412
19.607438,29.5774648
7.4811083,15.5462185
10.2891156,11.8032787
13.0667506,23.1060606
4.7883711,9.9236641
13.7868598,25.4464286
16.3549618,24.5901639
14.0773976,23.0769231
6.8952937,15.1162791
20.4900938,22.6190476
7.3554789,7.4249605
1.4444444,4.6728972
20.6105491,29.245283
18.4445178,28.3464567
15.343086,19.223301
1.3365735,28.5714286
4.4456756,15.9292035
19.8335143,26.8041237
21.0714286,22.2222222
1.2770898,14.2857143
20.2622169,30.1204819
19.4987775,31.8181818
14.5051546,21.1640212
20.3125,27.184466
18.0113636,27.2727273
15.4592497,30.2631579
1.6398084,6.5693431
14.0156919,21.4007782
15,23.2954545
15.6490179,30.952381
15.4310345,29.3333333
16.5431445,15.6521739
15.0625602,27.9411765
13.4670487,23.5294118
